Country,first_seq,last_seq,variant,censure_date,duration,censored,mortality_rate,total_cases,total_deaths,growth_rate
Portugal,2020-11-09,2021-11-27,ORF1a.S3675,2021-07-10,383,False,0.0161474280801186,85590.56284266777,1382.0674578388507,2097.3379740853147
Denmark,2020-11-09,2021-09-13,ORF1a.S3675,2021-07-10,308,False,0.0073884112656325,88906.74818725014,656.8796198974388,2565.3617007170724
Netherlands,2020-11-12,2021-11-26,ORF1a.S3675,2021-07-13,379,False,0.0075102575774702,1369206.4777053895,10283.093324308316,24280.84471972943
Eswatini,2020-11-13,2021-07-09,ORF1a.S3675,2021-07-14,238,True,0.0346832499115223,1343.304449648712,46.59016393442623,59.38408195914349
Israel,2020-11-15,2021-11-20,ORF1a.S3675,2021-07-16,370,False,0.0060846931983368,124400.8157522764,756.9407974754282,2543.033744186756
Cameroon,2020-11-19,2021-09-17,ORF1a.S3675,2021-07-20,302,False,0.0160161097712318,5906.287234042553,94.59574468085108,262.9675288764499
Mexico,2020-11-20,2021-10-13,ORF1a.S3675,2021-07-21,327,False,0.0757453897012075,190436.40053557765,14424.67937186258,7278.370576841072
Botswana,2020-11-21,2021-11-21,ORF1a.S3675,2021-07-22,365,False,0.0124251073568361,2302.759355755566,28.612032212221692,571.0294127401484
Austria,2020-11-23,2021-11-28,ORF1a.S3675,2021-07-24,370,False,0.0108354624358098,101762.4090919814,1102.64276109368,1581.453629414128
Mauritius,2020-11-24,2021-10-24,ORF1a.S3675,2021-07-25,334,False,0.0089005235602094,2696.2397260273974,23.997945205479454,43.13844464588946
Malawi,2020-11-25,2021-06-21,ORF1a.S3675,2021-07-26,208,True,0.0335395543335051,5090.997411561692,170.7497842968076,168.9601069982648
Lesotho,2020-11-26,2021-01-18,ORF1a.S3675,2021-07-27,53,True,0.0143915645483043,1290.6666666666667,18.57471264367816,83.46651419858966
Slovakia,2020-11-30,2021-08-30,ORF1a.S3675,2021-07-31,273,False,0.0160966723965415,50162.01733582387,807.4415598043948,2348.863723721534
Belgium,2020-11-30,2021-11-24,ORF1a.S3675,2021-07-31,359,False,0.0161197088651466,156856.3259144504,2528.478307397506,2366.2138617324727
Peru,2020-11-30,2021-11-05,ORF1a.S3675,2021-07-31,340,False,0.0908520843025074,426314.985863512,38731.60503509408,4338.081175381096
Japan,2020-12-01,2021-10-05,ORF1a.S3675,2021-08-01,308,False,0.010402828970756,162144.5015717421,1686.761518399323,4583.809532622092
Zambia,2020-12-01,2021-09-02,ORF1a.S3675,2021-08-01,275,False,0.0174548269272634,19889.49874055416,347.167758186398,708.2836683266509
Iceland,2020-12-02,2021-07-28,ORF1a.S3675,2021-08-02,238,True,0.003976143141153,207.5939372730852,0.8254232098333406,5.515123413382089
Italy,2020-12-07,2021-11-28,ORF1a.S3675,2021-08-07,356,False,0.0266930627271198,366303.0185997517,9777.74945261653,8485.673584982296
Singapore,2020-12-08,2021-07-10,ORF1a.S3675,2021-08-08,214,True,0.0005743092336162,1035.4284144858163,0.5946560991878213,21.296576831123676
Norway,2020-12-09,2021-10-08,ORF1a.S3675,2021-08-09,303,False,0.0045116910294528,21219.52897495521,95.73595852552128,470.9832575880538
Albania,2020-12-10,2021-07-13,ORF1a.S3675,2021-08-10,215,True,0.0185207528957528,16496.68899521531,305.5311004784689,435.4198502006454
Philippines,2020-12-10,2021-08-28,ORF1a.S3675,2021-08-10,261,False,0.0170522291677429,252903.19265013965,4312.563198324023,5775.684091704474
Central African Republic,2020-12-11,2021-04-26,ORF1a.S3675,2021-08-11,136,True,0.0136568123393316,1073.103448275862,14.655172413793103,5.565861444546083
